epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.1439,0.94545,1.54185,1.06794,1,0.98867,0.995,0.7549,0.83487,1.46012,0.98849,0.00065942,0.00065942,0.00065942
2,201.822,0.95628,1.27245,1.13388,0.96161,0.93635,0.98721,0.72036,0.88142,1.2387,1.01717,0.00129983,0.00129983,0.00129983
3,299.36,0.98327,1.16216,1.1499,0.87347,0.97196,0.97063,0.72159,0.88471,1.84453,1.00174,0.00191384,0.00191384,0.00191384
4,396.88,0.98591,1.04318,1.11473,0.97138,0.9517,0.99104,0.7573,0.80028,0.95837,0.99407,0.0018812,0.0018812,0.0018812
5,494.35,0.92073,0.94516,1.09467,0.9761,0.96262,0.99129,0.77708,0.77121,0.88046,0.94079,0.0018416,0.0018416,0.0018416
6,593.002,0.91541,0.83721,1.08458,0.95866,0.98131,0.99155,0.79495,0.73048,0.8078,0.95727,0.001802,0.001802,0.001802
7,690.808,0.95387,0.84287,1.13129,0.99902,0.98131,0.99455,0.78759,0.73018,0.69755,0.93879,0.0017624,0.0017624,0.0017624
8,801.47,0.87604,0.7597,1.07641,0.96319,0.97819,0.99322,0.78868,0.75886,0.68095,0.96625,0.0017228,0.0017228,0.0017228
9,903.521,0.88484,0.73656,1.07973,1,0.98926,0.995,0.80194,0.74403,0.6037,0.93934,0.0016832,0.0016832,0.0016832
10,1008.97,0.88421,0.70479,1.07582,0.98967,1,0.99491,0.79736,0.69896,0.59305,0.94482,0.0016436,0.0016436,0.0016436
11,1113.66,0.84909,0.673,1.05316,0.99877,1,0.995,0.81609,0.65571,0.55849,0.923,0.001604,0.001604,0.001604
12,1234.27,0.8438,0.65605,1.04606,0.99967,1,0.995,0.82775,0.64181,0.51954,0.90505,0.0015644,0.0015644,0.0015644
13,1336.26,0.83257,0.61915,1.04649,0.99964,0.98131,0.99491,0.82061,0.66461,0.51502,0.91264,0.0015248,0.0015248,0.0015248
14,1435.52,0.81881,0.61177,1.04387,0.99947,0.99065,0.995,0.84064,0.63171,0.46859,0.89476,0.0014852,0.0014852,0.0014852
15,1546.72,0.76322,0.55455,1.00643,0.99072,0.99771,0.99491,0.83011,0.63891,0.42988,0.88782,0.0014456,0.0014456,0.0014456
16,1655.13,0.78105,0.55063,1.02413,0.99074,0.99982,0.995,0.82068,0.64181,0.42694,0.91572,0.001406,0.001406,0.001406
17,1764.01,0.78947,0.57114,1.02565,0.99308,0.99065,0.995,0.8177,0.61555,0.42836,0.89413,0.0013664,0.0013664,0.0013664
18,1873.12,0.73029,0.52719,1.00538,0.98157,1,0.995,0.83942,0.59871,0.41473,0.8791,0.0013268,0.0013268,0.0013268
19,1981.85,0.74894,0.52696,1.00323,0.99727,1,0.995,0.83741,0.64158,0.40804,0.88933,0.0012872,0.0012872,0.0012872
20,2085.69,0.74843,0.49401,0.99704,0.99478,1,0.995,0.84168,0.59173,0.3914,0.88849,0.0012476,0.0012476,0.0012476
21,2184.12,0.77513,0.49613,1.02662,0.99073,0.99894,0.995,0.82932,0.63759,0.41701,0.90776,0.001208,0.001208,0.001208
22,2281.6,0.75735,0.50789,0.99878,0.99021,1,0.99491,0.84383,0.63336,0.38387,0.89562,0.0011684,0.0011684,0.0011684
23,2379.26,0.70757,0.48031,0.98964,0.98891,1,0.995,0.84118,0.59548,0.37552,0.87598,0.0011288,0.0011288,0.0011288
24,2476.52,0.74163,0.47871,1.00268,0.99878,1,0.995,0.83805,0.61081,0.36977,0.87827,0.0010892,0.0010892,0.0010892
25,2573.91,0.73954,0.48119,0.99918,0.99873,1,0.995,0.83316,0.61061,0.37694,0.87567,0.0010496,0.0010496,0.0010496
26,2671.78,0.72182,0.47852,1.00419,0.98991,1,0.99481,0.82676,0.60048,0.38065,0.86926,0.00101,0.00101,0.00101
27,2769.32,0.70481,0.46349,0.98148,0.99056,1,0.995,0.84792,0.57872,0.36359,0.85783,0.0009704,0.0009704,0.0009704
28,2867.65,0.70853,0.44835,0.99071,0.99909,1,0.995,0.85594,0.56706,0.34122,0.87254,0.0009308,0.0009308,0.0009308
29,2965.99,0.70435,0.44865,0.9858,0.97424,0.99065,0.99463,0.856,0.56414,0.44815,0.86634,0.0008912,0.0008912,0.0008912
30,3066.02,0.6841,0.43853,0.97948,0.99664,1,0.995,0.85085,0.57271,0.33522,0.86482,0.0008516,0.0008516,0.0008516
31,3164.61,0.6961,0.42581,0.98379,0.99756,1,0.995,0.85584,0.55968,0.33778,0.86538,0.000812,0.000812,0.000812
32,3262.17,0.67863,0.43274,0.97476,1,0.99968,0.995,0.85999,0.55496,0.34339,0.85446,0.0007724,0.0007724,0.0007724
33,3359.56,0.66141,0.42066,0.95798,0.9974,1,0.995,0.85329,0.55017,0.32479,0.86101,0.0007328,0.0007328,0.0007328
34,3456.84,0.66235,0.41634,0.97068,0.9903,1,0.995,0.86276,0.53834,0.32897,0.85931,0.0006932,0.0006932,0.0006932
35,3556.28,0.66903,0.41285,0.98019,0.99617,0.99065,0.995,0.86284,0.54457,0.32907,0.85548,0.0006536,0.0006536,0.0006536
36,3653.71,0.67177,0.41009,0.97769,0.99497,0.99065,0.995,0.85861,0.54378,0.30634,0.85504,0.000614,0.000614,0.000614
37,3752.06,0.65691,0.39661,0.96536,0.98976,0.99065,0.995,0.86824,0.52243,0.31935,0.85436,0.0005744,0.0005744,0.0005744
38,3849.62,0.67308,0.41163,0.97913,0.99016,0.99065,0.995,0.85831,0.54826,0.30991,0.8673,0.0005348,0.0005348,0.0005348
39,3947.14,0.65088,0.41888,0.97943,0.99375,0.99065,0.995,0.85698,0.52888,0.30343,0.86491,0.0004952,0.0004952,0.0004952
40,4045.48,0.64491,0.3987,1.00026,0.99657,0.99065,0.995,0.85891,0.54214,0.31077,0.86172,0.0004556,0.0004556,0.0004556
41,4142.61,0.55776,0.32375,0.90569,0.99755,0.99065,0.995,0.86871,0.54513,0.31775,0.85429,0.000416,0.000416,0.000416
42,4239.69,0.56702,0.3342,0.90324,0.99774,0.99065,0.995,0.84876,0.55013,0.29926,0.86238,0.0003764,0.0003764,0.0003764
43,4336.52,0.53784,0.30731,0.90487,1,0.99813,0.995,0.87646,0.53818,0.29464,0.84991,0.0003368,0.0003368,0.0003368
44,4433.18,0.55172,0.3142,0.90391,0.99069,1,0.995,0.87069,0.51628,0.28753,0.84371,0.0002972,0.0002972,0.0002972
45,4529.81,0.54043,0.30351,0.89982,0.99074,0.9994,0.995,0.86829,0.5294,0.29259,0.84677,0.0002576,0.0002576,0.0002576
46,4626.39,0.5354,0.30626,0.90013,0.99073,0.99898,0.995,0.87715,0.52248,0.2864,0.84606,0.000218,0.000218,0.000218
47,4723.23,0.54131,0.30438,0.89107,0.99073,0.9993,0.995,0.87459,0.51641,0.27729,0.84603,0.0001784,0.0001784,0.0001784
48,4820.97,0.53765,0.30019,0.89092,0.99073,0.9993,0.995,0.87605,0.52796,0.27614,0.84582,0.0001388,0.0001388,0.0001388
49,4919.19,0.53786,0.29471,0.88827,0.99074,0.9994,0.995,0.86939,0.52256,0.2762,0.84438,9.92e-05,9.92e-05,9.92e-05
50,5017.03,0.51226,0.28229,0.88516,0.99074,0.99939,0.995,0.87579,0.51528,0.27631,0.84194,5.96e-05,5.96e-05,5.96e-05
